title1,title2,no,desc,img_url
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0039.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0040.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0041.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0042.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0043.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0044.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0045.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0046.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0047.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0048.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0049.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0050.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0051.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0052.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0053.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0054.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0055.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0056.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0057.jpg
